Title,Author_URL,Author_Name,App_Version,Rating,Review,Date,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,sentiment
Price,https://itunes.apple.com/us/reviews/id693986162,YolowRare,6.61.3,2,price too high,12/8/2020 16:08,0,0,0,0,0,0,0,0,0,0,0
Lyft 6<U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F>,https://itunes.apple.com/us/reviews/id1236627023,JazziJPayne,6.61.3,5,"brad was amazing and on time very professional and friendly clean car very clean i like lyft because of the safety measure in place when brad was in his way it displayed a picture of him make and model of vehicle and tag
lyft is a absolutely amazing",12/8/2020 14:16,0,2,0,0,2,0,0,4,0,4,4.5
It?s great for busy ppl,https://itunes.apple.com/us/reviews/id1233819569,Krissyrich,6.61.3,5,maan hold up i have met some people from all over the world from london to los angels,12/8/2020 13:27,0,0,0,0,0,0,0,0,0,0,0
Lyft,https://itunes.apple.com/us/reviews/id980964398,veryion,6.61.3,5,very reliable,12/8/2020 12:38,0,0,0,0,0,0,0,1,0,1,0.5
Grateful To You All!,https://itunes.apple.com/us/reviews/id310694632,JayMommyHuerta23,6.61.3,5,"drivers have always provided me with great services thank you all

jasmine huerta",12/8/2020 7:59,0,0,0,0,0,0,0,0,0,0,1
To all my kind Lyft drivers,https://itunes.apple.com/us/reviews/id1181707687,firstnameischristy,6.61.3,5,ive not had one negative riding experience in all myoryears utilizing this service every ride ive taken has additionally been on time if not early to arrive for pick up,12/8/2020 5:46,0,2,0,0,0,1,0,0,1,1,-0.75
Great Job !!,https://itunes.apple.com/us/reviews/id1172779090,Dede24,6.61.3,5,made it to work on time thanks to lyft,12/8/2020 3:05,0,1,0,0,0,0,0,0,0,0,0.85
Trash,https://itunes.apple.com/us/reviews/id750644531,stupid1012,6.61.3,1,lyft is trash use any other ride sharing companies then lyft would negative stars if i could,12/8/2020 2:58,0,0,1,0,0,2,0,0,2,0,-1.25
DOESN?T ALLOW CASH PAYMENT,https://itunes.apple.com/us/reviews/id906258917,Sir Rami,6.61.3,1,what kind of taxi service doesnt allow cash,12/8/2020 0:29,1,1,0,1,2,0,0,2,0,2,1.15
Great,https://itunes.apple.com/us/reviews/id1226712056,courtsp8,6.61.3,5,ive used lyft for about a week now and all the drivers have been very nice i really enjoy using lyft,12/7/2020 23:28,0,1,0,0,1,0,0,1,0,1,1.25
Rider,https://itunes.apple.com/us/reviews/id18244233,Froese907,6.61.3,5,love this app is so easy to use,12/7/2020 21:51,0,0,0,0,1,0,0,0,0,1,1.55
Best Driver ever!,https://itunes.apple.com/us/reviews/id1076663845,Jemdac,6.61.3,5,i am a single mom with no carmy driver was originally going to drop me off at the store then that wouldve meant that i had to call another driver to pick me up and that meant i had to wait for another driver and in my area it takes a really long time for drivers to come or at least even to find a driver in my area so i asked my driver if they would wait for meand that it would be worth it this driver lets just call her sue she went above and beyond to help me and my children and she waited she waited longer than she really should have she didnt miss a ride because i told her if a ride comes up to take it but i gave her a really really nice tip because it took me some extra time and i hope every driver is like this especially with a single moms that are by ourselves with car seats and babies and so thank you to aka sue for being such a good person this goes to show that if you treat your drivers good and youre nice you get that in return pay it forward,12/7/2020 20:50,2,8,1,1,4,2,3,5,3,9,4.15
William was Great,https://itunes.apple.com/us/reviews/id245853075,JakeIsMyBestBuddy,6.61.3,5,thank you william,12/7/2020 20:01,0,0,0,0,0,0,0,0,0,0,0.5
Card issues for no reason and long wait times,https://itunes.apple.com/us/reviews/id608538475,aggytimestwo,6.61.3,1,this app is so annoying oh i had to reenter my card on several occasions causing me to be late or better yet stranded with no ride options are i have never had this issue with uber,12/7/2020 19:39,1,0,0,0,0,1,0,0,3,0,-1.2
Return money,https://itunes.apple.com/us/reviews/id809355294,marcus suar,6.60.3,1,lyft constantly takes money from my account as a donationwithout asking once for my permission i do not agree w this policyi want my money returned immediately,12/7/2020 17:18,1,2,0,0,1,0,1,3,1,4,1.9
Horrible customer service,https://itunes.apple.com/us/reviews/id298659697,okchillin,6.60.3,1,worst service ever you never talk to a human being theres no number to call and your concerns are never addressed will never use lyft again,12/7/2020 17:06,0,0,0,0,0,0,0,0,0,1,-0.7
First Lyft ride,https://itunes.apple.com/us/reviews/id334553257,Purr-fect Mom,6.60.3,5,i was very impressed with the servicemy ride came in under five minutes,12/7/2020 15:19,0,0,0,0,0,0,0,0,0,0,0.5
Times off,https://itunes.apple.com/us/reviews/id424363497,stripped thread,6.60.3,2,scheduled formessage atthe driver would arrive inminutes driver said the pickup was scheduled forapp said driver was early and he would wait tilldriver said he knew nothing of that and probably wouldnt have waited that long lyft should work on their technologyapp and communications,12/7/2020 14:30,0,3,0,0,0,0,0,0,1,0,0
Nice guy,https://itunes.apple.com/us/reviews/id594474894,The brain23,6.60.3,5,awesome service,12/7/2020 8:14,0,0,0,0,0,0,0,0,0,0,0.6
Lyft,https://itunes.apple.com/us/reviews/id593307003,Lisaanunh,6.60.3,2,i have great experiences but a couple times i was left because they could not follow directions and it takes two days before i receive a refund but still charge a cancellation fee like it was not my fought,12/7/2020 6:10,1,0,0,0,0,0,0,0,1,0,1.2
Great,https://itunes.apple.com/us/reviews/id974018877,rhadub,6.60.3,5,i love lyft get app and business,12/7/2020 1:56,0,0,0,0,1,0,0,0,0,1,0.75
Just terrible,https://itunes.apple.com/us/reviews/id1054697194,shanetaylor1954,6.60.3,1,literally just waitedmins in the cold waiting on a ride from work that closed atpm i was told a ride would be at my location between pm here i am atpm outside catching a cold thanks lyft for being absolutely terrible i wish i could leave a negativestar review,12/7/2020 1:45,1,0,1,1,0,2,1,0,3,0,0.15
My review on this,https://itunes.apple.com/us/reviews/id1134846880,lowkerqtiq,6.60.3,1,"amazing kind people cars smelt very nice but 
i am sorry to say i have a first complaint 
on this i had lost my iphone in the back of a lift when i left after about a hour l got out my phone to text my daughter i then realized my phone was not with me and i left in the lyft as i got home i contacted them on my daughters phone aboutpeople reached out and then after a few words froze the messages then aftertimes of reaching outpeople did not respond and froze the messages at this point i claimed
it as theft my property was in that lyft drivers car",12/6/2020 22:00,3,0,1,1,2,2,0,1,4,2,-0.65
Weekend trucker,https://itunes.apple.com/us/reviews/id724755918,DCBEAZY,6.60.3,5,i wasmiles north of tampa fl at the flying j truck stop i couldnt find not one driver in the area on a saturday night tried it again on sunday and got a great driver to take me to the promise land more drivers should be near big truck stops being that many drivers get stuck out on the weekends and need to go get a bitegrocery shop or whatever i love the lyft app,12/6/2020 19:50,0,0,0,1,2,0,0,2,0,4,1.3
Extra small dollar amount charges showing on my cc,https://itunes.apple.com/us/reviews/id302834519,NicciMichelle,6.60.3,1,ive seen my account chargedhere and there for supposed canceled rides ive never requested contacted their support team and they agreed to reimburse me instead of give lyft credit checked my account today to see if this had been done was toldbusiness days in mid november had to dispute the charges with my bank in order for this to be resolved will no longer be using this service as ive never had this issue with any of the other rideshare apps,12/6/2020 13:04,1,0,0,0,0,0,0,5,1,3,2.05
"Read address first instead of pin please, 1st driver got lost cause of it.",https://itunes.apple.com/us/reviews/id258245966,RJ Harrison,6.60.3,5,read address first instead of pin please st driver got lost cause of it,12/6/2020 8:26,0,0,0,0,0,1,0,0,1,0,0.25
Not alone,https://itunes.apple.com/us/reviews/id305753010,Gurla22,6.60.3,5,lovely,12/6/2020 8:07,0,1,0,0,1,1,1,1,0,1,0.75
Racist driver and charged too much $$,https://itunes.apple.com/us/reviews/id1177034118,Barr Woman,6.60.3,1,i received a promo in an emailoff i ordered a lyft and was told that roberto would be arriving shortly and the lyft would bewhen roberto pulled in i tried to flag him down he looked at me and my guests and sped by not even rolling down the window he then hid on one end of the parking lot which he had to turn around and he did it againhe accepted the ride i assume because i am a white woman however when he saw my cousin a black man he wouldnt even acknowledge us then suddenly i get a message that my driver david would be arriving shortlyroberto did arrive here so he didnt cancel because he couldnt make it he saw a black man and kept it movingthen im chargedrather than the quotedfairi am extremely disappointed again with this service which is why i stopped using in the first placei would like to know why i was charged more than double and would like my money back,12/6/2020 7:50,2,4,1,0,2,3,2,2,3,3,0.5
Amazing,https://itunes.apple.com/us/reviews/id299806802,omayia garcia,6.60.3,5,he was so kind and understanding i will take lyft everywhere,12/6/2020 7:45,0,0,0,0,1,0,0,2,0,2,1.5
Perfect ride,https://itunes.apple.com/us/reviews/id687231167,Philly2202,6.60.3,5,a,12/6/2020 5:56,0,0,0,0,0,0,0,0,0,0,0
Amazing,https://itunes.apple.com/us/reviews/id449213393,Gskhggg111,6.60.3,5,great,12/6/2020 5:45,0,0,0,0,0,0,0,0,0,0,0.5
Rebecca,https://itunes.apple.com/us/reviews/id38439335,drankes crew,6.60.3,5,good driversuper accommodating,12/6/2020 5:36,0,1,0,0,1,0,1,1,0,1,0.75
dabestappever,https://itunes.apple.com/us/reviews/id436399830,owen10011110110,6.60.3,5,good app no mean drivers like uber bruh no capp on moms,12/6/2020 5:12,0,1,0,0,1,0,1,1,0,1,1.25
Car ride,https://itunes.apple.com/us/reviews/id1009301120,tinathetiny77!!,6.60.3,5,there are a lot of drivers in this area which is good the wait time is very short thanks so muchgod bless,12/6/2020 3:10,0,4,0,0,2,0,1,2,1,2,2.1
Never Disappointed,https://itunes.apple.com/us/reviews/id224251748,JBMcKnight,6.60.3,5,i never used uber so i dont have anything to compare you too but the service has always been outstanding clean vehicles professional drivers safety conscious no complaints at all,12/6/2020 2:30,0,0,0,0,2,0,0,2,1,3,2.1
Crappy service,https://itunes.apple.com/us/reviews/id568528845,cd5dd,6.60.3,1,my most recent experience tried switching me betweendifferent drivers within seconds ended without one so i just canceled the ride this is stupid,12/6/2020 2:26,0,0,0,0,0,0,0,0,1,0,-1
Life-saver!,https://itunes.apple.com/us/reviews/id1055769463,cyn_bad,6.60.3,5,lyft is always prompt and reliable i usually compare to uber and lyft always has the better prices and more drivers available they never disappoint when im in need of a ride,12/6/2020 1:43,1,0,1,0,0,1,0,1,1,1,1.7
Feedback,https://itunes.apple.com/us/reviews/id1235788621,vexxthis,6.60.3,5,my second time using lyft awesome experience,12/6/2020 0:22,0,1,0,0,0,0,0,0,0,0,0.6
Better than Uber!,https://itunes.apple.com/us/reviews/id371683755,lukethejeweler,6.60.3,5,super convenient and always the best servicedrivers every ride that i request the driver shows up within minutes im very impressed in the response time and how fast call get me to my destination the drivers are all so friendly as well,12/5/2020 23:46,0,3,0,1,2,1,1,1,0,3,4.1
Lyft Special Note *,https://itunes.apple.com/us/reviews/id978894326,january ann,6.60.3,5,may god bless your companythank you so much to all of you,12/5/2020 22:05,0,2,0,1,2,0,0,2,0,2,1
Awesome,https://itunes.apple.com/us/reviews/id124847406,JRam21,6.60.3,5,greatest customer service thank you the driver wasgreat,12/5/2020 21:59,0,0,0,0,0,0,0,0,0,1,1
Ok,https://itunes.apple.com/us/reviews/id1048653184,biggs14621,6.60.3,1,should be a little more cheaper almost the same price as a cab and the gps is never accurate,12/5/2020 21:44,0,0,0,0,0,0,0,1,0,2,0.5
Bach trip,https://itunes.apple.com/us/reviews/id402113492,mrs.gangwish,6.60.3,5,bomb a playlist would recommend,12/5/2020 21:23,1,0,0,1,0,1,1,1,1,1,-0.25
Better than uber,https://itunes.apple.com/us/reviews/id572949585,Frankj415,6.60.3,5,cheaper than uber like that a lot,12/5/2020 21:02,0,0,0,0,0,0,0,0,0,0,0.5
Lyft,https://itunes.apple.com/us/reviews/id931475428,red rider20245,6.60.3,5,he was very nice and careful thank u,12/5/2020 19:20,0,0,0,0,0,0,0,0,0,1,1.25
I?m suing.,https://itunes.apple.com/us/reviews/id1135286253,get it tgether,6.60.3,1,they are stealing money holding them for authorization charges and not sending them back thats completely ridiculous there needs to be a customer service you can cal and speak to someone i will start a case for everyone if you have had these problems contact me at rm g mail com deleting this app customers should matter and if its an overload of people hire more help its called business,12/5/2020 19:13,2,4,2,2,2,2,1,3,4,6,-0.1
Expense,https://itunes.apple.com/us/reviews/id551013111,Backwardsguapo,6.60.3,5,quit being expensive,12/5/2020 17:28,0,0,0,0,0,0,0,0,1,0,-0.85
Luft,https://itunes.apple.com/us/reviews/id100498624,MammolshainerM?dchen,6.60.3,5,the only place i call if i need a ride ,12/5/2020 14:39,0,0,0,0,0,0,0,0,0,0,0
Great driver,https://itunes.apple.com/us/reviews/id309105582,Iflyplanet,6.60.3,5,excellent customer service,12/5/2020 12:42,0,0,0,0,1,0,0,1,0,2,1
Horrible Customer Service,https://itunes.apple.com/us/reviews/id105314517,Me 11375,6.60.3,1,many of the people that you speak to a customer service are from foreign countries they dont respond to your inquiries just use uber instead,12/5/2020 11:43,0,0,0,0,0,0,0,0,1,1,-0.25
Great driver,https://itunes.apple.com/us/reviews/id1235585781,Lonleybandz,6.60.3,5,car clean very polite,12/5/2020 9:45,0,0,0,0,1,0,0,1,0,2,1.25
What?s up with the ride cost upfront?,https://itunes.apple.com/us/reviews/id381601762,Divebobber,6.60.3,3,i could not figure out what the cost of my ride was until after the ride was over whats up with that,12/5/2020 6:52,0,0,0,0,0,0,0,0,0,0,0
Drivers,https://itunes.apple.com/us/reviews/id1111629903,Jeni053640,6.60.3,2,the drivers cancel way too much and its a big inconvenience,12/5/2020 6:12,0,0,0,0,0,1,0,0,1,0,-1
Lyft,https://itunes.apple.com/us/reviews/id1028064096,J3853,6.60.3,5,very good service,12/5/2020 5:59,0,1,0,0,1,0,1,1,0,1,0.75
Hello,https://itunes.apple.com/us/reviews/id1193283770,maddysmirh12233,6.60.3,5,ty,12/5/2020 4:59,0,0,0,0,0,0,0,0,0,0,0
I lost 10$,https://itunes.apple.com/us/reviews/id739029737,flaredrago1025,6.60.3,1,it had a schedule feature but gave me the risemin early,12/5/2020 4:22,0,0,0,0,0,0,0,0,0,1,0
Always happy,https://itunes.apple.com/us/reviews/id726721821,maaaiiiya. mc,6.60.3,5,good app,12/5/2020 4:02,0,1,0,0,1,0,1,1,0,1,0.75
Lyft,https://itunes.apple.com/us/reviews/id1171260477,hbnih,6.60.3,3,could be a little bit cheaper and more faster,12/5/2020 3:36,0,0,0,0,0,0,0,0,0,0,0.6
Terrible Company & Customer service,https://itunes.apple.com/us/reviews/id181813005,Jimbob349,6.60.3,1,if a driver says you spilled something in the car lyft chargesfor a cleaning fee without having any proof drivers are so desperate for money and stealing from riders and lyft allows this type of behavior they will not side with the passenger ever most cars are dirty and drivers are unsafe,12/5/2020 3:03,2,2,2,2,1,0,1,2,5,2,-2.15
Nice driver,https://itunes.apple.com/us/reviews/id490782927,crzjess,6.60.3,5,jose was very pleasant and informative,12/5/2020 0:47,0,1,0,0,1,0,1,1,0,1,1
Muito bom poder agendar a corrida com anteced?ncia,https://itunes.apple.com/us/reviews/id1204166451,majux2020,6.60.3,5,preo melhor do que concorrentes e ainda  possvel realizar o agendamento das corridas o que pra mim  o mais til,12/5/2020 0:31,0,0,0,0,0,0,0,0,0,0,0
Good,https://itunes.apple.com/us/reviews/id536443565,Aurora Red,6.60.3,5,clean quiet great,12/5/2020 0:17,0,0,0,0,1,1,0,1,0,2,1.5
Don?t download!,https://itunes.apple.com/us/reviews/id964234876,Cowgirl2k19,6.60.3,1,i scheduled a lyft a couple days in advance so i would have it ready for my ride to the airport early in the morning and as soon as it said that my driver would be heading this way i sat here for an hour waiting and missing my flighted and had to cancel it,12/4/2020 23:53,0,3,0,2,1,2,1,0,2,1,0.35
Excellent Trip!,https://itunes.apple.com/us/reviews/id1181809608,Bookwriter Ally,6.60.3,5,made my first lyft trip an excellent one,12/4/2020 23:47,0,0,0,0,1,0,1,1,0,1,1
Pandemic Ride,https://itunes.apple.com/us/reviews/id471762613,Russeunner,6.60.3,5,"this was my first ride since the onset of the pandemicwindows were open the car was clean and i enjoyed the human interaction with the friendly engaged driver

thanks for responding well to the trying circumstances we all face currently

rs",12/4/2020 21:18,0,3,0,0,3,0,0,3,0,3,4.5
Review,https://itunes.apple.com/us/reviews/id1128663299,kay9009,6.60.3,5,driver was very courteous and safe and punctual i will most definitely use lyft again,12/4/2020 18:24,0,1,0,0,1,0,0,2,0,3,2
Charged on missed rides,https://itunes.apple.com/us/reviews/id437530809,agscehr,6.60.3,2,had to skate to work due to drivers not being visibly on time and the recommended walk point changed and still charged on several rides some rides are great but i depend on transportation and money keeps being wasted not even on future rides,12/4/2020 18:09,2,3,1,0,1,0,1,2,1,1,1.1
Great Driver,https://itunes.apple.com/us/reviews/id1117398408,bosscater,6.60.3,5,lorrenna was such a great and friendly driver with a clean and confortable car,12/4/2020 17:35,0,1,0,0,2,0,0,2,0,2,2
<U+0001F44E><U+0001F3FB>,https://itunes.apple.com/us/reviews/id1209250349,Holgu.20,6.60.3,1,this app acts stupid sometimes i been trying to delete my account or delete my card from here but theres not way the app would let me do it,12/4/2020 17:34,0,0,0,0,0,0,0,1,1,0,-1
Fast and friendly,https://itunes.apple.com/us/reviews/id122733903,abowlinglane,6.60.3,5,lyft drivers have always been fast and friendly thank you to aundra today,12/4/2020 15:05,0,1,0,0,1,0,0,1,0,1,1.25
Great Driver!!!,https://itunes.apple.com/us/reviews/id967609771,Jph Lego,6.60.3,5,good driver wishing to be my lyft driver all my trips,12/4/2020 13:50,0,1,0,0,1,0,1,1,0,1,1.55
"Pedro Harth, SVP Raymond James",https://itunes.apple.com/us/reviews/id22395324,pedroharth,6.60.3,5,very clean vehicle and courteous driver,12/4/2020 13:16,0,0,0,0,1,0,0,1,0,2,1.5
Friend,https://itunes.apple.com/us/reviews/id674947094,jairitocruz,6.60.3,5,excellent trip nice and smart conversationthanks,12/4/2020 12:45,0,0,0,0,1,0,1,1,0,1,2
People are lazy,https://itunes.apple.com/us/reviews/id994572686,Demi fed up,6.60.3,1,i have to get to the airport this morning they kept canceling the ride and no one would pick up its so hard to be where you have to without a ride untrustworthy and very frustrating,12/4/2020 10:57,1,1,0,0,0,0,0,0,1,1,-1.25
Better and better,https://itunes.apple.com/us/reviews/id1123244389,neotheone1/2,6.60.3,5,seems lyft is getting better than uber friendly drivers and hardly and cancellations on my rides,12/4/2020 9:55,0,1,0,0,1,0,0,1,0,1,1.55
Awesome,https://itunes.apple.com/us/reviews/id137319257,xmadz_,6.60.3,5,awesome,12/4/2020 9:11,0,0,0,0,0,0,0,0,0,0,0.6
Gerald was awesome!,https://itunes.apple.com/us/reviews/id103873613,tori kuhlman,6.60.3,5,gerald was fast and very friendly,12/4/2020 6:29,0,1,0,0,1,0,0,1,0,1,0.75
Uber driver,https://itunes.apple.com/us/reviews/id870095148,kelseydarling13,6.60.3,5,he was such a wonderful human being and drove safely to my destination,12/4/2020 6:03,0,1,0,1,2,1,2,1,0,2,1.25
Review,https://itunes.apple.com/us/reviews/id261183537,Tank2380,6.60.3,5,cheap but reasonable great drivers very clean vehicles and very respectful,12/4/2020 5:59,0,0,0,0,1,0,0,2,1,2,2
Lyft rides are completely unreliable,https://itunes.apple.com/us/reviews/id34628899,68173819;8,6.60.3,1,i ordered a lift with the promo code that i was given to order my first lyft and the canceled on me twice making me beyond late for the event i was attending its incredible that this service considers themselves a rival to uber considering that they arent nearly as reliable by a long shot and consistently miss rides not the biggest fan of uber but anything thats not lyft gets the job done,12/4/2020 4:50,1,1,0,1,0,2,1,1,2,2,0.9
Eficiente,https://itunes.apple.com/us/reviews/id1087228335,cinco<U+2B50><U+FE0F>,6.60.3,5,right on time,12/4/2020 3:42,0,1,0,0,0,0,0,0,0,0,0.8
Geting way better,https://itunes.apple.com/us/reviews/id271527151,Jj012684,6.60.3,5,faster efficient prices are better than ubers i would recommend just giving a little better deal than a few cents if i hit wait n save and expand more other than great,12/4/2020 2:41,1,3,0,0,2,0,1,4,2,5,3.75
Great ride,https://itunes.apple.com/us/reviews/id197389315,cfenton9,6.60.3,5,best lyft ride ive had in a while,12/4/2020 0:11,0,0,0,0,0,0,0,0,0,0,0.5
Heirhjdnckf,https://itunes.apple.com/us/reviews/id17096871,jeiicjejxkeid,6.60.3,5,hey,12/4/2020 0:11,0,0,0,0,0,0,0,0,0,0,0
Driver and car,https://itunes.apple.com/us/reviews/id650624237,Taparote84,6.60.3,5,excellent service,12/3/2020 23:47,0,0,0,0,1,0,0,1,0,1,1
Lyfts NyC way over priced,https://itunes.apple.com/us/reviews/id1235139493,Robert Mul,6.60.3,3,"i would take more lyfts
in nyc but rides are way over priced if felt like i was a getting deal i would take more oftenfrom a business point of view you would make more money in the end",12/3/2020 22:40,1,2,0,0,2,0,2,2,0,2,1.35
<U+0001F4AA><U+0001F3FE><U+0001F525>,https://itunes.apple.com/us/reviews/id1078631900,zeus_ttu,6.60.3,5,love dis app get me to a n b,12/3/2020 22:36,0,0,0,0,1,0,0,0,0,1,0.75
Availability,https://itunes.apple.com/us/reviews/id224058107,Timawima,6.60.3,3,i know your going to say its my area but there is a real need for more drivers in macon georgia a lot of people down here have no car but its,12/3/2020 22:19,0,0,0,0,0,0,0,1,0,1,0.25
Excelente aplicaci?n,https://itunes.apple.com/us/reviews/id793844760,tmmakos a,6.60.3,5,todo se a cambiado est muy bien,12/3/2020 20:27,0,0,0,0,0,0,0,0,0,0,0
Helpful and Hopeful,https://itunes.apple.com/us/reviews/id651346361,ImBigDawg,6.60.3,5,most of the time friendly and patient with my needs lucky to have a company that responds and caresimbigdawg,12/3/2020 20:10,0,3,0,0,2,0,1,1,0,3,2
Great ride.,https://itunes.apple.com/us/reviews/id21169954,PartridgeFam,6.60.3,5,the thing i like about lyft is if they are cheaper than uber and they get to you quicker which means a wait time is usually just a minute compared to a half hour or so with uber,12/3/2020 19:01,0,2,0,0,0,0,0,0,1,0,0.65
lyft going up,https://itunes.apple.com/us/reviews/id153745107,underwearonly,6.60.3,5,i like your app thanks for making it ,12/3/2020 18:14,0,0,0,0,0,0,0,0,0,0,1.1
Good Drive,https://itunes.apple.com/us/reviews/id1051515533,homaytruong,6.60.3,5,you are the best thanks so much,12/3/2020 16:38,0,0,0,0,0,0,0,0,0,0,1.1
Safety first,https://itunes.apple.com/us/reviews/id515773303,JAJ2020,6.60.3,5,ive had very good experiences using lyft i appreciate that all the drivers are masked and will let me open the back windows at least half way safety first these daysfor me and for them,12/3/2020 15:03,0,1,0,0,1,0,1,1,0,1,2.05
My ride,https://itunes.apple.com/us/reviews/id1167271902,MikaStylez,6.60.3,5,really great company drivers are very helpful and get u where u gotta go,12/3/2020 14:56,0,0,0,0,1,0,0,1,0,1,1.25
