Title,Author_URL,Author_Name,App_Version,Rating,Review,Date,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,sentiment
Mark the ONE,https://itunes.apple.com/us/reviews/id1234939649,Joe Gatsby <U+0001F918><U+0001F3FC><U+0001F60E>,6.60.3,5,most comfortable ride ive been inmark is incredible and makes you feel like family ,12/3/2020 8:27,0,0,0,0,0,0,0,0,0,0,1.5
Lyft,https://itunes.apple.com/us/reviews/id1141836070,@laa.joyy,6.60.3,5,great,12/3/2020 8:22,0,0,0,0,0,0,0,0,0,0,0.5
Saved me so much,https://itunes.apple.com/us/reviews/id1220885165,karmakin1,6.60.3,5,its am i just got off work and i use my old taxi service they are to busy and charge extra me being extremely tired and no other way home finds lyft and in literallyminutes im in a car on my way home thank you,12/3/2020 7:58,0,0,0,0,0,0,0,0,1,1,0.4
Nick,https://itunes.apple.com/us/reviews/id632422322,Nick R.A,6.60.3,5,great service,12/3/2020 5:42,0,0,0,0,0,0,0,0,0,0,0.5
"Quick comfortable ride,",https://itunes.apple.com/us/reviews/id467747111,nikkif198588,6.60.3,5,driver was sweet and polite though he was quiet i could tell he had a very calming energy about himsome other drivers in the past seem stressed annoyed or on edge this driver did not making the ride pleasant and without awkwardness he turned music off when my phone rang and even kept it at a comfortable level the entire ride he followed all covid precautionary guidelines and with the window at a comfortable crack without forcing me to be overtaken by wind as it was freezing outside so he had the heat going at a perfect temperature his car was spotless and didnt have any overly strong smell or air freshener that some drivers do ride was perfect at the end he offered to drive me all the way down my long driveway to my door even though its a pain to get out of so i thought that was sweet he gave me time to get my things without rushing me and waited until i was inside before driving off very chivalrous and respectful no hard braking no swerving no speeding and no driving too slow he followed gps directions without error and his arrival time was on point as expected and greatly appreciated i realize i wrote a book and included extra attention to detail this is just for anyone with whom any of this extra info may be helpful i was also appreciative that he did not try to hit on me or ask ifi was single which i appreciate so very much so i grabbed all the ones in my purse which was only about five bucks but had i any more id have handed it over willingly on top of the standard tip from the app driver is more than deserving i dont drive so i try not to take drivers for granted and i notice when one is a step above the rest both in driving skills and when i notice that someone is an extra special human in general whose inner light shines within so brightly that a ride with no words were spoken my heart can hear what my ears did not have to good man good ride good vibes thank you thank you thank you,12/3/2020 5:37,3,10,2,1,7,4,3,10,8,20,10.3
Awesome,https://itunes.apple.com/us/reviews/id591635293,Liongooner,6.60.3,5,this is the service to usegreat pricesno let downsspot on with estimated timesim not a driverlyft makes my life so much easier,12/3/2020 5:32,0,0,0,0,0,0,0,0,0,0,0.8
I love using Lyft,https://itunes.apple.com/us/reviews/id940185609,Awakening Butterfly,6.60.3,5,ive been using lyft regularly for years and i love it,12/3/2020 3:38,0,0,0,0,1,0,0,0,0,1,0.75
Dan,https://itunes.apple.com/us/reviews/id1227628977,poohBwar19,6.60.3,5,i liked riding with danhes friendly and it was a very comfortable ride with heated seats,12/3/2020 3:30,0,1,0,0,1,0,0,1,0,1,1.75
Rude driver,https://itunes.apple.com/us/reviews/id392656272,rude driver!!!,6.60.3,2,we got in the car i said something about the previous driver and the new driver kicked us out was super super rude for absolutely no reason even threaten to call the cops there was no reason to act like that wish i had his information,12/3/2020 0:41,1,1,0,1,0,0,0,0,1,2,2.6
General note,https://itunes.apple.com/us/reviews/id1080624414,Sonrise55,6.60.3,5,all drivers have been courteous and friendly always have had great conversations with each driver,12/2/2020 23:22,0,1,0,0,1,0,0,1,0,2,2
Best Operator:,https://itunes.apple.com/us/reviews/id554336333,dballew01,6.60.3,4,"since the covid pandemic my bus route was canceled marta of atlanta routes were finally added my route didnt 
lyft has been relatively good i make it to work at a homeless service provider 
thank you lyft",12/2/2020 21:13,1,3,2,2,2,2,2,2,2,2,-0.1
You can?t go wrong!,https://itunes.apple.com/us/reviews/id798866978,Tried'nTrue,6.60.3,5,on time friendly helpful theyre the best,12/2/2020 20:43,0,2,0,0,2,0,0,2,0,2,2
Lfyt,https://itunes.apple.com/us/reviews/id930303014,muronnda,6.60.3,1,i dont like themin wait that makes me late for work,12/2/2020 20:34,0,1,0,0,0,1,0,0,2,0,0.25
Lyft very upset!!!,https://itunes.apple.com/us/reviews/id1234792257,Ron Ron 56,6.60.3,1,"i already wrote something on my drivers thingplease respond back to me asap 
please dont take away his tip of",12/2/2020 19:40,0,0,0,0,0,0,0,0,0,0,1
Lyft me up,https://itunes.apple.com/us/reviews/id802738734,Da Dis Rupter,6.60.3,5,i was stuck in the habit of using an alternative ride source tried lyft and now that is all i use excellent professional drivers that arrive quickly,12/2/2020 16:33,0,1,0,0,1,0,0,2,0,2,1.55
First time driver,https://itunes.apple.com/us/reviews/id333095004,TiaraAnn,6.60.3,4,my first time riding with lyft i enjoyed the ride,12/2/2020 15:51,0,1,0,0,0,0,0,0,0,0,1
Location issues when picking up,https://itunes.apple.com/us/reviews/id177621631,Gangstatalk,6.60.3,1,turning upwrong locationsupon cancellation they charge a cancellation fee which is no fault of the customer,12/2/2020 14:24,1,0,0,0,0,1,0,0,2,1,-1.1
Mi experienci,https://itunes.apple.com/us/reviews/id811755255,obiade,6.60.3,5,muy buena experiencia para ser la primera la propina se la di al chofer,12/2/2020 13:59,0,0,0,0,0,0,0,0,0,0,0
AROUND THE WORLD,https://itunes.apple.com/us/reviews/id601503958,ZELLA NOIR,6.60.3,1,lyft has been getting worse and it has nothing to do with covid im just finally writing a review prices have significantly gone up and travel time has significantly increased i will try my absolute hardest to avoid lyft as best i can moving forward and the fact that i cant submit this review because someone has my name is stupid,12/2/2020 13:14,0,3,1,2,1,1,1,2,3,3,-0.5
Review,https://itunes.apple.com/us/reviews/id402421860,77Tay18,6.60.3,3,rides are a bit expensive,12/2/2020 12:34,0,0,0,0,0,0,0,0,0,0,-0.25
always a waste of time .,https://itunes.apple.com/us/reviews/id262860624,jasmindaa620,6.60.3,1,they never have available driversthen when you go to cancel bc its just searching for nothing they take forever to refund the money back uber refunds it back right away if they dont have drivers,12/2/2020 11:53,1,1,0,0,1,1,1,1,1,1,2.25
Lyft is a lifesaver,https://itunes.apple.com/us/reviews/id1057946030,KNGBOSS,6.60.3,5,awesome service i love lyftstars the best hands down ,12/2/2020 10:53,0,0,0,0,1,0,0,0,0,1,1.85
Good Guy Tuesday,https://itunes.apple.com/us/reviews/id1233826940,Slymmfish,6.60.3,5,mande went above and beyond tonight fantastic,12/2/2020 9:29,0,0,0,0,0,0,0,0,0,0,0.75
Wonderful,https://itunes.apple.com/us/reviews/id1152350431,wavyokay,6.60.3,5,beautiful service,12/2/2020 6:47,0,0,0,0,1,0,0,0,0,1,0.75
Amazing!!!,https://itunes.apple.com/us/reviews/id1192084316,Pocahontas32!,6.60.3,5,thank you so much he was the best lyft driver ive ever had actuallymymin drive went so fast because of the great conversation and music choice,12/2/2020 5:55,0,0,0,0,1,1,0,0,0,2,2.5
Customer service,https://itunes.apple.com/us/reviews/id450929325,MCH 4Me,6.60.3,5,much better than uber i dont use either one often at all but uber was nonresponsive and denied my request for a ride said my bank card was having an issue and that was it and i was very desperate for a ride it was very urgent so i went with lyft and it took me about three minutes to sign on and the driver was arriving very punctual thank you,12/2/2020 3:19,0,2,0,1,0,1,1,2,3,1,-1.25
Great service,https://itunes.apple.com/us/reviews/id567292169,bombo rass,6.60.3,5,i enjoy using this service great initiative,12/2/2020 3:13,0,1,0,0,1,0,0,1,0,1,1.25
Lost and found,https://itunes.apple.com/us/reviews/id1017320743,hardtimessyck,6.60.3,5,took care of me great person,12/2/2020 3:02,0,0,0,0,0,0,0,0,0,0,1.5
Be more LGBTQ FRIENDLY,https://itunes.apple.com/us/reviews/id1062016039,stopshaking,6.60.3,3,too many drivers give cold shoulder when they see someone from the lgbtq many are open minded and okay with it but many arent and many shove their religion down my throat i dont want to see how muslim christian jewish etc you are,12/2/2020 2:18,1,0,0,0,0,0,0,2,2,1,-1
Best ride ever,https://itunes.apple.com/us/reviews/id1103056886,jerronda,6.60.3,5,love love love she is the best very clean car,12/2/2020 0:48,0,0,0,0,2,0,0,1,0,2,2
Fraud,https://itunes.apple.com/us/reviews/id432393565,They dont care about tou,6.60.3,1,"they are changing me for rides that i did not take 
i ammonths sending emails and i have no solution or answer forride",12/2/2020 0:31,0,0,0,0,0,0,0,0,0,1,0.5
First time rider.,https://itunes.apple.com/us/reviews/id697538094,3 X 20,6.60.3,5,it was a really good experiencei look forward to riding with lyft again,12/2/2020 0:21,0,1,0,0,1,0,1,1,0,2,1.35
Driver who didn?t show,https://itunes.apple.com/us/reviews/id963165904,belgeeni,6.60.3,3,"my kids and i were left in the cold at the rental car location driver daniel did not respond to several text messages and did not answer the phone as i was trying to inform him of where we were this was after he sent a message saying he was leaving and charging afee to my account furthermore there is no way to speak with a live person to let them know what is happening who the heck does thisfor a ride that didnt happen plusadded on nope thats not how this works i will get my coins refunded period 

finally i had to book another ride jarrett who not only stayed in contact until he arrived he was very pleasant and professional my girls enjoyed our ride home",12/1/2020 23:19,0,3,1,0,2,0,2,5,1,4,3.9
My rides,https://itunes.apple.com/us/reviews/id365893868,chuchados,6.60.3,5,i love lyft and ride every day from my job to my house its expensive i would like a fare for someone like me who rides every day,12/1/2020 22:40,0,0,0,0,1,0,0,0,0,2,1
Ride,https://itunes.apple.com/us/reviews/id513769899,laylaandnea,6.60.3,5,this man is awesome hands down,12/1/2020 22:31,0,0,0,0,0,0,0,0,0,0,0.6
Scammers,https://itunes.apple.com/us/reviews/id417211469,Bunabet,6.60.3,1,this company has voiced twice for your thief drivers when they claimed damage by providing fake throw up picture,12/1/2020 22:22,2,1,2,1,1,2,1,1,3,1,-1.7
<U+2665><U+FE0F><U+2665><U+FE0F><U+2665><U+FE0F><U+2665><U+FE0F>,https://itunes.apple.com/us/reviews/id1167555335,chubbs baby,6.60.3,5,love it,12/1/2020 22:09,0,0,0,0,1,0,0,0,0,1,0.75
Fraud,https://itunes.apple.com/us/reviews/id1131079551,2009ducati1198sman,6.60.3,1,lyft charged medollars twice now i cant pay my bills,12/1/2020 21:51,0,1,0,0,1,0,0,1,0,1,-0.1
STOP GIVING ME DRIVERS THAT ARE TOO FAR,https://itunes.apple.com/us/reviews/id1230936207,Alejandra Balderas,6.60.3,2,i had used both the uber and lyft apps unfortunately for me i was overcharged for aminute ride foron uber and had to file a claim with lyft however their drivers are so inconsistent and when i finally find one to take me that isminutes away from my pick up spot i get redirected to one that isminutes away,12/1/2020 21:47,0,1,1,0,1,0,1,1,0,2,-1.4
Rides,https://itunes.apple.com/us/reviews/id426707767,hot sauce 71,6.60.3,5,i spend like overin lyft and i dont get any free rides and they getting expensive,12/1/2020 21:23,0,0,0,0,0,0,0,0,0,0,0.75
Rip off,https://itunes.apple.com/us/reviews/id387513951,Ray Crazee,6.60.3,1,too many texts annoying,12/1/2020 20:33,1,0,0,0,0,0,0,0,1,0,-0.75
Uber?,https://itunes.apple.com/us/reviews/id1234478293,Lord P.rad,6.60.3,5,nolyft amen,12/1/2020 20:11,0,0,0,0,1,0,0,1,0,1,0.6
#1 Ride Service v other,https://itunes.apple.com/us/reviews/id1070582145,LogOutTLS,6.60.3,4,"i almost never had a issue with this app only comment is that myyear parent is hard to get on suv or big vehicles i have brought it to there attention to add small vehicle on there app 

and dont like lyft using my data for analysis analysts whatever reason i ask to opt outor at least reward us 

but its a good company",12/1/2020 19:55,0,2,0,0,2,0,2,2,1,4,2.85
Company lyft,https://itunes.apple.com/us/reviews/id1234456112,reza 1235,6.60.3,1,this company first shows the cheaper price and then it higher very the pricethe routes are short and very very false the lyft company has a problem please be careful peoplevery very bad,12/1/2020 18:36,1,0,1,2,0,2,0,0,2,1,-0.85
Suggestion,https://itunes.apple.com/us/reviews/id805120936,sloopster3,6.60.3,5,would help if driver could identify rider,12/1/2020 18:24,0,0,0,0,0,0,0,0,0,1,0
Great driver ThankYou,https://itunes.apple.com/us/reviews/id942908697,JoysBowBowJoy33,6.60.3,5,great rover thank you,12/1/2020 17:52,0,0,0,0,0,0,0,0,0,0,1
Lyft.,https://itunes.apple.com/us/reviews/id193579124,relinquishthedream,6.60.3,5,the future of transportation ,12/1/2020 16:47,0,0,0,0,0,0,0,0,0,0,0
Blessing,https://itunes.apple.com/us/reviews/id1234307007,JG MONEY 305,6.60.3,5,very good experience,12/1/2020 9:26,0,1,0,0,1,0,1,1,0,1,0.75
Rewards,https://itunes.apple.com/us/reviews/id683718463,Teddy Pent'her,6.60.3,5,you need a rewards program that is all good day,12/1/2020 8:54,0,1,0,0,1,0,1,1,0,1,1.25
Fine if you don?t run into any problems,https://itunes.apple.com/us/reviews/id49417950,honeydewing,6.60.3,3,lyft doesnt care about its customers but its cheaper than the alternative as long as nothing goes wrong and you dont have to get in touch with customer service its a good app,12/1/2020 8:12,0,2,0,0,1,0,1,1,1,2,1
Driver,https://itunes.apple.com/us/reviews/id720383126,Jadah*Jaxon,6.60.3,5,i left my bag in his car,12/1/2020 6:35,0,0,0,0,0,0,0,0,0,0,0
DTW Airport Terminal,https://itunes.apple.com/us/reviews/id196229074,Nanaboo17,6.60.3,2,"the issue i have is when landing and choosing a driver the terminal may not be listed as clear so
maybe when asking the riders which terminal theyre at provide a detailed description of each terminal on the app so the customer can confirm the terminal they are in",12/1/2020 4:30,0,0,0,1,0,1,0,1,1,2,1.05
Paid twice to get a ride,https://itunes.apple.com/us/reviews/id434873647,Marley in Ohio,6.60.3,3,"i scheduled a ride several days in advance got a couple generic notifications but nothing with contact or driver informationwaited at airport for my ride no one showedafterminutes and several attempts at trying to find a way to contact lyft i paid for a second rideright away i received information on my driver etche arrived promptly and i was very happy with his service 
maybe its because i scheduled the first ride in advance and they still have bugs to work out im not surewhat i do know is i am now going to find out how good there customer service is when i request a refund",12/1/2020 2:09,0,4,0,1,3,0,2,2,0,7,5.75
Javier rocks!,https://itunes.apple.com/us/reviews/id149840413,pMFairbairn,6.60.3,5,javier was fantastic he was friendly and helpful,12/1/2020 1:43,0,1,0,0,2,0,0,2,0,2,2.25
Fare,https://itunes.apple.com/us/reviews/id522277241,daynad,6.60.3,5,price is fareclean cars so far and polite,12/1/2020 0:20,0,0,0,0,0,0,0,0,0,1,0.5
The Driving,https://itunes.apple.com/us/reviews/id516337238,poohbearniyan,6.60.3,1,this past fridaytoday i had drivers that were running red lightswas not at the correct pick up addressboth were driving crazyi am done,11/30/2020 23:54,0,0,0,0,0,0,0,0,0,1,0.6
Expired Debit Card supposedly,https://itunes.apple.com/us/reviews/id164462066,hhubben,6.60.3,1,every debit card i used for this app the app says it is expired and i check the bank account and it isnt expired so i end up canceling the debit card in order to get a ride,11/30/2020 23:04,0,0,0,0,0,0,0,2,1,0,-0.5
Great Service,https://itunes.apple.com/us/reviews/id39663473,Stevemitchell77,6.60.3,5,nicole was greatawesome experience for my first time will definitely use lyft again thanks to nicole you should use this service you will not regret it,11/30/2020 21:34,0,1,0,0,0,1,0,0,1,0,-0.15
"Horrible service , mediocre drivers",https://itunes.apple.com/us/reviews/id132203058,Jasonohsofresh,6.60.3,1,i liked lyft for the most part but they get no mercy from this review from me not only did i not get my money back from the unpleasant car ride because the driver was a racist and a bigot blasting his liberal political station which i was extremely uncomfortable with his name was arno from arizona a tall white man with glasses when i asked if marijuana was legal in arizona he said yes but that he would kick me out of the car if i had any and that its unfortunate its legal he was the absolute worst lyft driver ive ever encountered and should be fired on top of that the customer service didnt do much but apologize they couldnt even refund or issue credit for me being discriminated against they are for profit and not for the customers david from customer service really hope you read this and reevaluate your morals and standards,11/30/2020 20:40,4,5,3,1,4,3,3,8,6,12,1.1
Ridd,https://itunes.apple.com/us/reviews/id622767769,Zaa Bosss,6.60.3,5,amazing,11/30/2020 19:52,0,0,0,0,0,0,0,0,0,0,0.5
Very professional and on time and  car clean,https://itunes.apple.com/us/reviews/id656898965,Elect Saints,6.60.3,5,very good,11/30/2020 17:34,0,1,0,0,1,0,1,1,0,1,0.75
Privacy Violators!,https://itunes.apple.com/us/reviews/id190592825,Obama is the Anti-Christ,6.58.3,1,so the app works great for getting rides etc however todayi was coerced by the app to take a picture of myself to prove that i was wearing a mask and i dont like giving pictures of myself and i felt it was obtuse because the rider can determine that for himself in person safely and if the rider is not wearing a mask he can be charged for the rise for wasting the drivers time or have the drivers produce or sell the rider a masks lyft stop asking for people pictures seems perverse and suspect stop asking for permission to access my cameras too creeps its not needed for you to ask if you want me to use the camera just ask and if i open my camera that me consenting right there no need for me to formally give you permission seems like you ask for permission so you can access peoples cameras and spy on them for nefarious reasons pervs,11/30/2020 16:54,1,1,3,4,0,2,1,0,5,4,-1.25
Location malfunction,https://itunes.apple.com/us/reviews/id1186376090,Mr.Toedoe,6.58.3,5,every time i put my location in it would send me to the wrong address,11/30/2020 16:40,0,1,0,0,0,0,0,0,1,0,-0.75
Ok,https://itunes.apple.com/us/reviews/id692393973,sajsid,6.58.3,5,good job,11/30/2020 16:10,0,1,0,0,1,0,1,1,0,2,0.75
Review,https://itunes.apple.com/us/reviews/id117978707,Bellemoni,6.58.3,5,lyft is a great app much cheaper than uberdoesnt really have as many coupons unless you get the lyft card or enroll in lyft points but is a great app,11/30/2020 15:50,0,1,0,0,0,0,0,1,0,0,0.5
Started out good....,https://itunes.apple.com/us/reviews/id490004740,DrewWho?,6.58.3,1,"i loved this at first ive had a total ofridesride i put in a different card but they still charged the other cardthey have charged me forrides
worse part is i cant find a way to speak to a human to fix this i will never use lyft again",11/30/2020 15:33,0,0,0,1,0,1,0,0,1,0,-0.25
<U+2764><U+FE0F>,https://itunes.apple.com/us/reviews/id499509277,NY MOM1,6.58.3,5,love lyft,11/30/2020 14:06,0,0,0,0,1,0,0,0,0,1,0.75
Drivers are not as close as Uber,https://itunes.apple.com/us/reviews/id1210925537,shrkp,6.58.3,1,uber has a better turn around time for drivers if you want a lyft expect to waitminutes for some one to even pick you up,11/30/2020 13:57,0,2,0,0,0,0,1,1,0,2,1.2
Terrible Service,https://itunes.apple.com/us/reviews/id560898531,theyycrave.ri,6.58.3,1,your drivers take their time by not moving at all fora a couple minutes and then cancel that also waste my time because the next driver isminutes away and is finishing a trip you just need better service and better drivers if they know they are not going to do the trip dont accept,11/30/2020 12:53,0,1,1,0,0,1,1,0,2,0,0.3
A scam!,https://itunes.apple.com/us/reviews/id536957421,R-O-75015,6.58.3,1,"i couldnt find my driver at the airporthe clearly wasnt there despite looking everywhere i got a no show fee 
and there is no way on the app to contest that kind of fee just a scam",11/30/2020 3:44,1,0,0,0,1,0,0,2,1,1,-0.1
I hate lyft,https://itunes.apple.com/us/reviews/id956906064,AppReallyHorrible,6.58.3,1,hella unprofessional no better then uber only the price,11/30/2020 3:31,0,0,0,0,0,0,0,0,0,0,-0.2
Driver,https://itunes.apple.com/us/reviews/id370624551,Samy gemal,6.58.3,5,love this service,11/30/2020 3:13,0,0,0,0,1,0,0,0,0,1,0.75
Nice Ride,https://itunes.apple.com/us/reviews/id688527051,jcarloscanales,6.58.3,5,derek very profesional clean car and nice ride thanks derek,11/30/2020 2:10,0,0,0,0,1,0,0,1,0,1,1.85
easy to use,https://itunes.apple.com/us/reviews/id967250312,Edith<U+263A><U+FE0F>,6.58.3,4,setting up to get rides is type easy and prices be fair to my pockets,11/29/2020 23:19,0,0,0,0,0,0,0,0,0,1,1.55
Doubled the price of my work commute,https://itunes.apple.com/us/reviews/id191621589,I wish I could play,6.58.3,1,i had been taking lyft tofrom work for a while now yesterday when i ordered my ride the price was x what it usually is i didnt have a lot of time and it was early in the morning so i paid it plus i figured it was a once in a while thing but the price was x what it usually again so i downloaded uber again and paid the price i had been paying lyft,11/29/2020 22:49,0,1,0,0,0,0,0,0,0,0,0.25
Not taking my valid payment,https://itunes.apple.com/us/reviews/id313070072,HIGHKIX,6.58.3,1,im late for work and lyft decide to not accept my payment,11/29/2020 21:03,0,0,0,0,0,1,0,0,2,0,0.9
Flake,https://itunes.apple.com/us/reviews/id511101933,mandy strother 2,6.58.3,1,the driver showed late and refused to drive me to the destination because it was to far,11/29/2020 18:31,0,1,0,1,1,3,1,0,2,1,-1
Good service,https://itunes.apple.com/us/reviews/id1175542557,Praze1,6.58.3,5,god bless all the drivers and riders i pray for traveling mercy to and from our destinations,11/29/2020 18:25,0,3,0,2,3,0,1,3,0,5,2.1
Good service,https://itunes.apple.com/us/reviews/id430854779,Mosito117,6.58.3,5,always have had a good experience with lift,11/29/2020 15:01,0,1,0,0,1,0,1,1,0,1,0.75
Priority Upgrade Fees,https://itunes.apple.com/us/reviews/id429828437,Brian Luck,6.58.3,1,times in the past month i have gotten this fee ofi didnt change my destination or add a stopi always schedule my rides ahead of time i dont understand why all of a sudden im getting this fee and no one from customer support has helped in solving this issueuntil further notice i am not using lyftyou can keep yourdollars,11/29/2020 13:17,1,2,0,2,1,1,2,0,1,3,2.3
"Very accommodating, friendly and polite!",https://itunes.apple.com/us/reviews/id987762618,L. Sully,6.58.3,5,thank you,11/29/2020 12:55,0,0,0,0,0,0,0,0,0,0,0.5
Unknown automatic addresses.,https://itunes.apple.com/us/reviews/id100311140,LunaP1,6.58.3,3,when i used the app i put in an address that i was headed to and it switched to a different address without me noticingit even gave the wrong address to the driver that didnt match,11/29/2020 12:55,0,0,0,0,0,0,0,0,1,0,-0.75
Orientaci?n,https://itunes.apple.com/us/reviews/id652883087,LalolA47,6.58.3,5,excelente servicio me gustara trabajar para ustedes tienen autos para alquilar y como es el proceso,11/29/2020 11:19,0,0,0,0,0,0,0,0,0,0,0
Stranded Dangerous,https://itunes.apple.com/us/reviews/id803978668,jackd necer,6.58.3,1,will not accept my payment in the middle of the night where and im stuck but there are rides near and they want accept it,11/29/2020 10:46,0,0,0,0,0,0,0,0,1,0,0.65
Gets me home out of sticky situations <U+0001F602>,https://itunes.apple.com/us/reviews/id1225868872,mimifaxy,6.58.3,5,very dependable rides come quickly,11/29/2020 8:30,0,0,0,0,0,0,0,0,0,0,1
